Filtering the log data using "subsystem CONTAINS "one.monero" OR process == "MoneroOne""
Timestamp                       Thread     Type        Activity             PID    TTL  
2026-01-18 15:28:39.559377-0500 0x254e864  Default     0x0                  5260   0    MoneroOne: (CFNetwork) [com.apple.CFNetwork:Default] Task <66968A28-5D58-4D50-91A1-5712EB07528A>.<19> done using Connection 3
2026-01-18 15:28:39.559448-0500 0x254e864  Default     0x0                  5260   0    MoneroOne: (Network) [com.apple.network:connection] [C3] event: client:connection_idle @52.726s
2026-01-18 15:28:39.559528-0500 0x254e864  Default     0x0                  5260   0    MoneroOne: (Network) [com.apple.network:connection] nw_protocol_socket_notify [C3:2] nw_protocol_notification_type_connection_idle is true
2026-01-18 15:28:39.559561-0500 0x254e864  Default     0x0                  5260   0    MoneroOne: (Network) [com.apple.network:connection] [C3] event: client:connection_idle @52.726s
2026-01-18 15:28:39.559593-0500 0x254e864  Default     0x0                  5260   0    MoneroOne: (Network) [com.apple.network:connection] nw_protocol_socket_notify [C3:2] nw_protocol_notification_type_connection_idle is true
2026-01-18 15:28:39.559904-0500 0x254e864  Default     0x0                  5260   0    MoneroOne: (CFNetwork) [com.apple.CFNetwork:Summary] Task <66968A28-5D58-4D50-91A1-5712EB07528A>.<19> summary for task success {transaction_duration_ms=36, response_status=200, connection=3, reused=1, reused_after_ms=0, request_start_ms=1, request_duration_ms=0, response_start_ms=35, response_duration_ms=0, request_bytes=482, request_throughput_kbps=5540, response_bytes=379, response_throughput_kbps=4246, cache_hit=true}
2026-01-18 15:28:39.560199-0500 0x254e864  Default     0x0                  5260   0    MoneroOne: (CFNetwork) [com.apple.CFNetwork:Default] Task <66968A28-5D58-4D50-91A1-5712EB07528A>.<19> finished successfully
2026-01-18 15:28:39.561190-0500 0x254e508  Default     0x0                  5260   0    MoneroOne: (CFNetwork) [com.apple.CFNetwork:Default] Task <E6102CDB-9053-40BE-99B6-DE980C858DAA>.<20> resuming, timeouts(30.0, 60.0) qos(0x19) voucher((null)) activity(00000000-0000-0000-0000-000000000000)
2026-01-18 15:28:39.562405-0500 0x254e863  Activity    0x1051cfaf           5260   0    MoneroOne: (Security) SecTrustReportNetworkingAnalytics
2026-01-18 15:28:39.562689-0500 0x254e508  Default     0x0                  5260   0    MoneroOne: (Network) [com.apple.network:connection] [C3] event: client:connection_idle @52.729s
2026-01-18 15:28:39.562802-0500 0x254e508  Default     0x0                  5260   0    MoneroOne: (Network) [com.apple.network:connection] nw_protocol_socket_notify [C3:2] nw_protocol_notification_type_connection_idle is true
2026-01-18 15:28:39.562939-0500 0x254e508  Default     0x0                  5260   0    MoneroOne: (CFNetwork) [com.apple.CFNetwork:Default] Task <E6102CDB-9053-40BE-99B6-DE980C858DAA>.<20> now using Connection 3
2026-01-18 15:28:39.563778-0500 0x254e508  Default     0x0                  5260   0    MoneroOne: (Network) [com.apple.network:connection] [C3] event: client:connection_reused @52.730s
2026-01-18 15:28:39.563926-0500 0x254e508  Default     0x0                  5260   0    MoneroOne: (Network) [com.apple.network:connection] nw_protocol_socket_notify [C3:2] nw_protocol_notification_type_connection_idle is false
2026-01-18 15:28:39.563934-0500 0x254e863  Default     0x1051cfaf           5260   0    MoneroOne: (Security) [com.apple.securityd:SecError] SecTrustReportNetworkingAnalytics failed with error: -4
2026-01-18 15:28:39.564547-0500 0x254e863  Default     0x0                  5260   0    MoneroOne: (CFNetwork) [com.apple.CFNetwork:Default] Task <E6102CDB-9053-40BE-99B6-DE980C858DAA>.<20> sent request, body S 187
2026-01-18 15:28:39.592358-0500 0x254e864  Default     0x0                  5260   0    MoneroOne: (CFNetwork) [com.apple.CFNetwork:Default] Task <E6102CDB-9053-40BE-99B6-DE980C858DAA>.<20> received response, status 200 content K
2026-01-18 15:28:39.592452-0500 0x254e864  Default     0x0                  5260   0    MoneroOne: (CFNetwork) [com.apple.CFNetwork:Default] Task <E6102CDB-9053-40BE-99B6-DE980C858DAA>.<20> response ended
2026-01-18 15:28:39.592506-0500 0x254e864  Default     0x0                  5260   0    MoneroOne: (CFNetwork) [com.apple.CFNetwork:Default] Task <E6102CDB-9053-40BE-99B6-DE980C858DAA>.<20> done using Connection 3
2026-01-18 15:28:39.592541-0500 0x254e864  Default     0x0                  5260   0    MoneroOne: (Network) [com.apple.network:connection] [C3] event: client:connection_idle @52.759s
2026-01-18 15:28:39.592583-0500 0x254e864  Default     0x0                  5260   0    MoneroOne: (Network) [com.apple.network:connection] nw_protocol_socket_notify [C3:2] nw_protocol_notification_type_connection_idle is true
2026-01-18 15:28:39.592602-0500 0x254e864  Default     0x0                  5260   0    MoneroOne: (Network) [com.apple.network:connection] [C3] event: client:connection_idle @52.759s
2026-01-18 15:28:39.592633-0500 0x254e864  Default     0x0                  5260   0    MoneroOne: (Network) [com.apple.network:connection] nw_protocol_socket_notify [C3:2] nw_protocol_notification_type_connection_idle is true
2026-01-18 15:28:39.592642-0500 0x254e508  Default     0x0                  5260   0    MoneroOne: (CFNetwork) [com.apple.CFNetwork:Summary] Task <E6102CDB-9053-40BE-99B6-DE980C858DAA>.<20> summary for task success {transaction_duration_ms=31, response_status=200, connection=3, reused=1, reused_after_ms=1, request_start_ms=2, request_duration_ms=0, response_start_ms=30, response_duration_ms=0, request_bytes=487, request_throughput_kbps=7449, response_bytes=839, response_throughput_kbps=29447, cache_hit=true}
2026-01-18 15:28:39.592866-0500 0x254e508  Default     0x0                  5260   0    MoneroOne: (CFNetwork) [com.apple.CFNetwork:Default] Task <E6102CDB-9053-40BE-99B6-DE980C858DAA>.<20> finished successfully
